codebase,audio,WER,substitutions,deletions,insertions,hits,N_ref,substitution_rate,deletion_rate,insertion_rate,hit_rate
4,34_KS_Recording4-LR_9365-9665_CT.wav,0.6407322654462243,84,128,68,225,437,0.19221967963386727,0.2929061784897025,0.15560640732265446,0.5148741418764302
4,Alex_010526_first5.wav,0.26,9,29,1,112,150,0.06,0.19333333333333333,0.006666666666666667,0.7466666666666667
4,William_030011_first5.wav,0.36612903225806454,67,147,13,406,620,0.10806451612903226,0.23709677419354838,0.020967741935483872,0.6548387096774193
4,85_NA_Recording1-LR_2244-2544_CT.wav,0.5040650406504065,139,44,3,186,369,0.37669376693766937,0.11924119241192412,0.008130081300813009,0.5040650406504065
4,40_JC_Recording1-LR_2962-3262_CT.wav,0.34988713318284426,53,94,8,296,443,0.11963882618510158,0.21218961625282168,0.01805869074492099,0.6681715575620768
4,40_JC_Recording1-LR_2662-2962_CT.wav,0.3770491803278688,33,24,104,370,427,0.07728337236533958,0.05620608899297424,0.24355971896955503,0.8665105386416861
4,40_JC_Recording2-LR_22826-23126_CT.wav,0.36542669584245074,65,73,29,319,457,0.1422319474835886,0.15973741794310722,0.06345733041575492,0.6980306345733042
4,William_011115_first5.wav,0.4226579520697168,72,97,25,290,459,0.1568627450980392,0.2113289760348584,0.054466230936819175,0.6318082788671024
4,Ethan_020208_first5.wav,0.4798206278026906,54,147,13,245,446,0.1210762331838565,0.3295964125560538,0.02914798206278027,0.5493273542600897
4,85_NA_Recording1-LR_9444-9744_CT.wav,0.32597623089983024,73,82,37,434,589,0.12393887945670629,0.13921901528013583,0.06281833616298811,0.7368421052631579
4,34_KS_Recording4-LR_2465-2765_CT.wav,0.43232323232323233,74,76,64,345,495,0.1494949494949495,0.15353535353535352,0.1292929292929293,0.696969696969697
4,85_NA_Recording1-LR_3144-3444_CT.wav,0.3963254593175853,49,83,19,249,381,0.12860892388451445,0.2178477690288714,0.049868766404199474,0.6535433070866141
4,Ethan_021005_first5.wav,0.5673469387755102,101,157,20,232,490,0.20612244897959184,0.32040816326530613,0.04081632653061224,0.47346938775510206
4,Naima_010801_first5.wav,0.32941176470588235,51,40,21,249,340,0.15,0.11764705882352941,0.061764705882352944,0.7323529411764705
4,Lily_040002_first5.wav,0.1958041958041958,79,70,19,709,858,0.09207459207459208,0.08158508158508158,0.022144522144522144,0.8263403263403264
4,Naima_020720_first5.wav,0.29282868525896416,53,81,13,368,502,0.10557768924302789,0.16135458167330677,0.025896414342629483,0.7330677290836654
4,Violet_030119_first5.wav,0.47130434782608693,115,152,4,308,575,0.2,0.2643478260869565,0.006956521739130435,0.5356521739130434
4,Lily_030725_first5.wav,0.6793650793650794,63,58,93,194,315,0.2,0.18412698412698414,0.29523809523809524,0.6158730158730159
4,34_KS_Recording4-LR_2165-2465_CT.wav,0.5073170731707317,75,109,24,226,410,0.18292682926829268,0.2658536585365854,0.05853658536585366,0.551219512195122
3,William_030011_first5.wav,0.5032258064516129,109,109,94,402,620,0.17580645161290323,0.17580645161290323,0.15161290322580645,0.6483870967741936
3,Alex_010526_first5.wav,0.26666666666666666,14,25,1,111,150,0.09333333333333334,0.16666666666666666,0.006666666666666667,0.74
3,Violet_030119_first5.wav,0.4226086956521739,37,204,2,334,575,0.06434782608695652,0.35478260869565215,0.0034782608695652175,0.5808695652173913
3,Ethan_021005_first5.wav,0.573469387755102,79,178,24,233,490,0.16122448979591836,0.363265306122449,0.04897959183673469,0.47551020408163264
3,34_KS_Recording4-LR_2465-2765_CT.wav,0.4404040404040404,82,67,69,346,495,0.16565656565656567,0.13535353535353536,0.1393939393939394,0.6989898989898989
3,34_KS_Recording4-LR_2165-2465_CT.wav,0.6585365853658537,191,16,63,203,410,0.4658536585365854,0.03902439024390244,0.15365853658536585,0.4951219512195122
3,Naima_020720_first5.wav,0.29880478087649404,59,86,5,357,502,0.11752988047808766,0.17131474103585656,0.0099601593625498,0.7111553784860558
3,Naima_010801_first5.wav,0.3235294117647059,54,33,23,253,340,0.1588235294117647,0.09705882352941177,0.06764705882352941,0.7441176470588236
3,85_NA_Recording1-LR_9444-9744_CT.wav,0.34804753820033957,65,99,41,425,589,0.11035653650254669,0.16808149405772496,0.06960950764006792,0.7215619694397284
3,34_KS_Recording4-LR_9365-9665_CT.wav,0.6773455377574371,120,111,65,206,437,0.2745995423340961,0.2540045766590389,0.14874141876430205,0.47139588100686497
3,William_011115_first5.wav,0.4117647058823529,79,83,27,297,459,0.1721132897603486,0.18082788671023964,0.058823529411764705,0.6470588235294118
3,40_JC_Recording2-LR_22826-23126_CT.wav,0.3741794310722101,72,57,42,328,457,0.1575492341356674,0.12472647702407003,0.09190371991247265,0.7177242888402626
3,40_JC_Recording1-LR_2662-2962_CT.wav,0.41451990632318503,30,33,114,364,427,0.0702576112412178,0.07728337236533958,0.26697892271662765,0.8524590163934426
