codebase,audio,WER,substitutions,deletions,insertions,hits,N_ref,substitution_rate,deletion_rate,insertion_rate,hit_rate
1,34_KS_Recording4-LR_2465-2765_CT.wav,0.397979797979798,89,42,66,364,495,0.1797979797979798,0.08484848484848485,0.13333333333333333,0.7353535353535353
1,40_JC_Recording1-LR_2962-3262_CT.wav,0.3860045146726862,59,108,4,276,443,0.13318284424379231,0.24379232505643342,0.009029345372460496,0.6230248306997742
1,85_NA_Recording1-LR_9444-9744_CT.wav,0.28862478777589134,71,42,57,476,589,0.12054329371816638,0.07130730050933787,0.0967741935483871,0.8081494057724957
1,34_KS_Recording4-LR_2165-2465_CT.wav,2.292682926829268,408,0,532,2,410,0.9951219512195122,0.0,1.2975609756097561,0.004878048780487805
1,85_NA_Recording1-LR_3144-3444_CT.wav,0.8110236220472441,136,24,149,221,381,0.3569553805774278,0.06299212598425197,0.3910761154855643,0.5800524934383202
1,40_JC_Recording2-LR_22826-23126_CT.wav,0.32603938730853393,72,27,50,358,457,0.1575492341356674,0.05908096280087528,0.10940919037199125,0.7833698030634574
1,34_KS_Recording4-LR_9365-9665_CT.wav,0.5217391304347826,100,44,84,293,437,0.2288329519450801,0.10068649885583524,0.19221967963386727,0.6704805491990846
1,85_NA_Recording1-LR_2244-2544_CT.wav,0.8157181571815718,274,19,8,76,369,0.7425474254742548,0.051490514905149054,0.02168021680216802,0.20596205962059622
1,40_JC_Recording1-LR_2662-2962_CT.wav,0.4613583138173302,35,23,139,369,427,0.08196721311475409,0.053864168618266976,0.3255269320843091,0.8641686182669789
