codebase,audio,WER,substitutions,deletions,insertions,hits,N_ref,substitution_rate,deletion_rate,insertion_rate,hit_rate
4,Lily_030725_first5.wav,0.6793650793650794,63,58,93,194,315,0.2,0.18412698412698414,0.29523809523809524,0.6158730158730159
4,Ethan_020208_first5.wav,0.4798206278026906,54,147,13,245,446,0.1210762331838565,0.3295964125560538,0.02914798206278027,0.5493273542600897
4,Lily_040002_first5.wav,0.1958041958041958,79,70,19,709,858,0.09207459207459208,0.08158508158508158,0.022144522144522144,0.8263403263403264
4,34_KS_Recording4-LR_2465-2765_CT.wav,0.43232323232323233,74,76,64,345,495,0.1494949494949495,0.15353535353535352,0.1292929292929293,0.696969696969697
4,William_030011_first5.wav,0.36612903225806454,67,147,13,406,620,0.10806451612903226,0.23709677419354838,0.020967741935483872,0.6548387096774193
4,Ethan_021005_first5.wav,0.5673469387755102,101,157,20,232,490,0.20612244897959184,0.32040816326530613,0.04081632653061224,0.47346938775510206
4,85_NA_Recording1-LR_2244-2544_CT.wav,0.5040650406504065,139,44,3,186,369,0.37669376693766937,0.11924119241192412,0.008130081300813009,0.5040650406504065
4,34_KS_Recording4-LR_2165-2465_CT.wav,0.5073170731707317,75,109,24,226,410,0.18292682926829268,0.2658536585365854,0.05853658536585366,0.551219512195122
4,34_KS_Recording4-LR_9365-9665_CT.wav,0.6407322654462243,84,128,68,225,437,0.19221967963386727,0.2929061784897025,0.15560640732265446,0.5148741418764302
4,Violet_030119_first5.wav,0.47130434782608693,115,152,4,308,575,0.2,0.2643478260869565,0.006956521739130435,0.5356521739130434
4,Naima_020720_first5.wav,0.29282868525896416,53,81,13,368,502,0.10557768924302789,0.16135458167330677,0.025896414342629483,0.7330677290836654
4,William_011115_first5.wav,0.4226579520697168,72,97,25,290,459,0.1568627450980392,0.2113289760348584,0.054466230936819175,0.6318082788671024
4,40_JC_Recording1-LR_2662-2962_CT.wav,0.3770491803278688,33,24,104,370,427,0.07728337236533958,0.05620608899297424,0.24355971896955503,0.8665105386416861
4,85_NA_Recording1-LR_3144-3444_CT.wav,0.3963254593175853,49,83,19,249,381,0.12860892388451445,0.2178477690288714,0.049868766404199474,0.6535433070866141
4,85_NA_Recording1-LR_9444-9744_CT.wav,0.32597623089983024,73,82,37,434,589,0.12393887945670629,0.13921901528013583,0.06281833616298811,0.7368421052631579
4,Alex_010526_first5.wav,0.26,9,29,1,112,150,0.06,0.19333333333333333,0.006666666666666667,0.7466666666666667
4,40_JC_Recording1-LR_2962-3262_CT.wav,0.34988713318284426,53,94,8,296,443,0.11963882618510158,0.21218961625282168,0.01805869074492099,0.6681715575620768
4,Naima_010801_first5.wav,0.32941176470588235,51,40,21,249,340,0.15,0.11764705882352941,0.061764705882352944,0.7323529411764705
4,40_JC_Recording2-LR_22826-23126_CT.wav,0.36542669584245074,65,73,29,319,457,0.1422319474835886,0.15973741794310722,0.06345733041575492,0.6980306345733042
1,40_JC_Recording2-LR_22826-23126_CT.wav,0.4923413566739606,68,72,85,317,457,0.1487964989059081,0.1575492341356674,0.18599562363238512,0.6936542669584245
1,40_JC_Recording1-LR_2962-3262_CT.wav,0.5327313769751693,88,40,108,315,443,0.1986455981941309,0.09029345372460497,0.24379232505643342,0.7110609480812641
1,85_NA_Recording1-LR_9444-9744_CT.wav,0.2903225806451613,77,31,63,481,589,0.1307300509337861,0.05263157894736842,0.10696095076400679,0.8166383701188455
1,34_KS_Recording4-LR_9365-9665_CT.wav,0.6292906178489702,136,56,83,245,437,0.3112128146453089,0.12814645308924486,0.18993135011441648,0.5606407322654462
