codebase,audio,WER,substitutions,deletions,insertions,hits,N_ref,substitution_rate,deletion_rate,insertion_rate,hit_rate
3,Lily_030725_first5.wav,0.4507936507936508,53,73,16,189,315,0.16825396825396827,0.23174603174603176,0.050793650793650794,0.6
3,34_KS_Recording4-LR_2165-2465_CT.wav,0.4951219512195122,112,73,18,225,410,0.2731707317073171,0.17804878048780487,0.04390243902439024,0.5487804878048781
3,Ethan_021005_first5.wav,0.5653061224489796,90,159,28,241,490,0.1836734693877551,0.32448979591836735,0.05714285714285714,0.49183673469387756
3,85_NA_Recording1-LR_2244-2544_CT.wav,0.4010840108401084,108,30,10,231,369,0.2926829268292683,0.08130081300813008,0.02710027100271003,0.6260162601626016
3,William_030011_first5.wav,0.3725806451612903,86,134,11,400,620,0.13870967741935483,0.2161290322580645,0.017741935483870968,0.6451612903225806
3,Alex_010526_first5.wav,0.23333333333333334,13,21,1,116,150,0.08666666666666667,0.14,0.006666666666666667,0.7733333333333333
3,Naima_020720_first5.wav,0.28286852589641437,53,78,11,371,502,0.10557768924302789,0.1553784860557769,0.021912350597609563,0.7390438247011952
3,Violet_030119_first5.wav,0.44173913043478263,32,221,1,322,575,0.05565217391304348,0.3843478260869565,0.0017391304347826088,0.56
3,Lily_040002_first5.wav,0.16083916083916083,62,59,17,737,858,0.07226107226107226,0.06876456876456877,0.019813519813519812,0.8589743589743589
3,34_KS_Recording4-LR_2465-2765_CT.wav,0.39191919191919194,74,49,71,372,495,0.1494949494949495,0.09898989898989899,0.14343434343434344,0.7515151515151515
3,Naima_010801_first5.wav,0.3,40,46,16,254,340,0.11764705882352941,0.13529411764705881,0.047058823529411764,0.7470588235294118
3,34_KS_Recording4-LR_9365-9665_CT.wav,0.5491990846681922,96,51,93,290,437,0.21967963386727687,0.11670480549199085,0.2128146453089245,0.6636155606407322
3,Ethan_020208_first5.wav,0.4977578475336323,68,136,18,242,446,0.15246636771300448,0.30493273542600896,0.04035874439461883,0.5426008968609866
3,85_NA_Recording1-LR_9444-9744_CT.wav,0.34974533106960953,73,83,50,433,589,0.12393887945670629,0.14091680814940577,0.08488964346349745,0.735144312393888
3,40_JC_Recording2-LR_22826-23126_CT.wav,0.35667396061269147,57,82,24,318,457,0.12472647702407003,0.17943107221006566,0.0525164113785558,0.6958424507658644
